YYYYMMDD,Precipitation duration (hour),Daily precipitation (mm),Maximum hourly precipitation (mm)
19321225,1.6,1.0,0.6
19321226,1.3,0.4,0.1
19321228,1.3,1.3,0.5
19321230,2.0,1.9,1.4
19321231,2.4,1.1,0.5
19330101,0.7,0.4,0.2
19330103,0.2,0.2,0.1
19330105,1.8,2.5,1.8
19330106,1.6,1.2,0.4
19330108,8.3,3.4,0.7
19330109,2.6,2.0,1.1
19330111,7.5,3.3,0.5
19330112,1.3,0.5,0.2
19330113,2.4,6.9,4.4
19330123,1.1,1.2,0.3
19330130,4.8,2.9,0.6
19330201,7.4,7.1,2.0
19330202,7.3,9.7,2.7
19330204,8.0,6.8,1.8
19330205,0.8,1.0,0.7
19330206,1.4,0.5,0.2
19330207,1.7,1.2,0.5
19330208,0.3,0.4,0.2
19330210,0.7,0.7,0.5
19330213,1.1,0.4,0.3
19330214,1.3,2.6,1.0
19330215,0.6,0.7,0.3
19330217,2.6,2.4,0.7
19330221,3.8,6.7,2.7
19330302,4.1,2.9,0.8
19330303,6.7,9.6,1.6
19330304,2.2,3.1,1.8
19330306,6.1,3.0,0.6
19330307,7.8,5.8,1.5
19330308,0.5,0.1,0.1
19330316,4.3,2.0,0.5
19330317,4.0,4.9,1.5
19330318,2.1,2.0,0.7
19330319,3.9,5.5,1.8
19330320,4.5,5.3,2.0
19330331,0.4,0.7,0.7
19330401,3.9,2.7,1.0
19330402,0.6,0.3,0.3
19330403,1.8,1.4,0.9
19330408,0.6,0.2,0.1
19330409,0.6,0.6,0.3
19330410,0.1,0.1,0.1
19330412,0.2,0.1,0.1
19330418,0.6,0.5,0.4
19330419,1.4,2.0,0.9
19330421,0.3,0.1,0.1
19330423,0.3,0.2,0.1
19330426,3.9,3.0,1.7
19330427,0.3,0.3,0.3
19330430,3.0,7.4,4.5
19330506,3.7,6.5,2.0
19330507,3.5,8.2,2.9
19330508,8.8,7.6,2.1
19330509,5.8,7.6,1.8
19330510,3.6,3.8,0.9
19330511,1.9,2.3,1.4
19330512,1.3,0.6,0.3
19330513,1.0,0.8,0.7
19330514,3.3,5.1,2.8
19330515,1.0,0.8,0.4
19330524,1.2,2.0,1.6
19330525,9.2,16.6,3.8
19330526,0.8,0.2,0.1
19330530,0.1,0.1,0.1
19330609,0.6,1.2,1.1
19330610,2.3,4.3,1.8
19330612,6.8,8.9,2.3
19330617,5.8,16.3,3.9
19330618,2.8,5.8,2.9
19330619,2.6,3.0,0.9
19330620,2.6,6.3,1.9
19330621,0.5,1.2,0.8
19330622,3.9,3.8,1.3
19330627,1.5,2.0,0.8
19330628,2.8,1.7,0.6
19330630,0.3,0.1,0.1
19330709,0.8,1.1,1.0
19330710,0.9,1.6,1.1
19330711,2.3,2.5,0.9
19330712,1.0,1.5,0.7
19330713,3.5,4.6,1.9
19330714,2.6,2.2,0.5
19330715,2.0,3.2,1.7
19330716,3.2,1.6,0.7
19330717,0.8,0.6,0.3
19330722,2.2,3.7,2.1
19330728,0.1,0.2,0.2
19330729,6.3,14.2,2.6
19330730,0.6,0.8,0.5
19330731,4.4,5.1,1.6
19330801,5.8,7.4,1.5
19330811,0.5,0.7,0.4
19330812,1.4,1.9,1.4
19330814,0.7,0.7,0.4
19330816,4.8,19.4,6.2
19330818,2.3,3.0,1.9
19330821,3.9,5.2,2.3
19330822,2.9,8.8,2.8
19330823,2.4,1.9,1.2
19330824,0.5,0.7,0.4
19330901,2.8,5.7,2.7
19330913,7.9,21.8,6.2
19330914,5.3,11.7,2.7
19330918,1.8,1.7,0.8
19330920,1.6,7.4,5.0
19330921,5.6,4.2,1.1
19330922,0.5,0.4,0.3
19330923,0.1,0.2,0.1
19330924,0.3,0.2,0.1
19330925,2.8,6.1,3.8
19330926,0.9,0.7,0.3
19331001,1.1,0.3,0.2
19331002,2.4,2.0,0.9
19331007,2.5,1.4,0.7
19331008,2.0,6.1,5.0
19331011,0.3,0.3,0.2
19331013,0.7,0.4,0.2
19331015,0.1,0.1,0.1
19331016,4.8,12.3,3.8
19331017,4.8,8.1,2.7
19331021,0.8,0.7,0.6
19331025,0.1,0.2,0.2
19331026,7.9,13.6,2.5
19331027,8.8,11.9,2.3
19331030,3.7,4.3,2.3
19331031,4.2,6.2,2.3
19331101,6.2,12.9,5.3
19331102,6.2,5.6,1.9
19331103,1.7,1.4,0.7
19331106,9.2,4.3,1.1
19331107,2.4,1.6,0.6
19331110,0.3,0.1,0.1
19331112,1.5,1.1,0.3
19331116,0.8,0.7,0.6
19331117,1.9,1.2,0.7
19331122,1.3,0.8,0.1
19331123,0.8,1.2,0.5
19331124,2.1,3.8,2.3
19331211,0.3,0.6,0.6
19331212,0.4,0.6,0.6
19331215,0.2,0.2,0.1
19331220,0.3,0.2,0.2
19331221,0.9,0.4,0.2
19331227,6.0,3.5,1.0
19340103,2.1,1.9,0.4
19340104,2.7,2.1,1.1
19340105,4.0,3.1,1.1
19340108,0.7,0.6,0.5
19340112,9.5,12.5,2.1
19340113,1.0,1.5,0.8
19340114,6.1,5.1,1.4
19340115,1.0,0.7,0.3
19340116,2.7,2.7,1.1
19340117,7.2,3.7,0.9
19340118,5.1,6.8,2.6
19340119,1.3,1.5,0.9
19340120,0.3,0.4,0.3
19340126,0.8,1.1,0.9
19340127,2.4,5.0,1.9
19340128,0.2,0.2,0.2
19340130,2.8,2.4,1.1
19340131,3.1,5.2,2.2
19340203,1.2,0.8,0.2
19340204,0.5,0.2,0.1
19340205,0.7,0.4,0.1
19340225,1.1,0.9,0.4
19340226,3.6,2.3,0.8
19340303,3.5,2.2,0.6
19340305,1.8,1.3,0.5
19340306,5.9,13.8,3.3
19340307,0.2,0.2,0.2
19340309,0.2,0.1,0.1
19340311,4.6,4.1,1.1
19340312,0.3,0.2,0.2
19340313,3.1,5.7,3.9
19340314,3.8,3.2,1.0
19340315,3.4,2.8,1.4
19340316,2.3,2.2,1.5
19340317,4.3,5.1,1.7
19340318,5.5,3.1,1.1
19340319,3.9,2.1,0.7
19340320,7.8,7.7,2.5
19340321,1.7,1.1,0.5
19340322,1.8,0.3,0.1
19340323,2.4,1.5,0.3
19340327,0.1,0.1,0.1
19340407,0.6,0.4,0.3
19340408,0.6,1.1,0.9
19340409,2.0,1.7,0.9
19340416,1.3,5.4,3.8
19340417,3.7,10.0,3.8
19340418,4.3,9.8,3.0
19340419,1.2,2.8,1.4
19340423,0.1,0.1,0.1
19340424,0.3,0.2,0.2
19340425,1.1,1.4,1.2
19340426,2.8,8.0,3.2
19340427,0.8,1.2,0.7
19340428,2.3,1.0,0.5
19340501,1.7,22.5,14.4
19340502,1.8,3.8,2.8
19340503,1.8,3.7,2.3
19340504,3.9,4.3,2.4
19340505,2.1,1.0,0.4
19340507,0.8,0.6,0.5
19340508,9.7,16.5,10.5
19340509,7.8,5.5,3.2
19340514,1.8,5.5,2.4
19340515,0.4,0.7,0.4
19340516,4.1,4.3,1.4
19340517,0.9,1.0,0.3
19340606,2.5,6.6,3.9
19340607,3.3,4.2,1.3
19340619,0.6,0.3,0.2
19340620,0.1,0.1,0.1
19340621,0.8,1.7,0.9
19340622,4.7,3.7,1.4
19340624,1.7,1.3,0.8
19340625,0.8,1.3,1.0
19340626,0.7,2.8,1.4
19340628,4.8,18.9,7.9
19340629,0.6,0.2,0.2
19340712,0.2,0.2,0.2
19340713,0.7,1.1,0.8
